,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
2162,21892834,Executive Museum 1 BR Elevator Best Location,61391963,Corporate Housing,Manhattan,Upper West Side,40.78383,-73.97529,Entire home/apt,133,30,8,2019-06-30,0.39,93,334,2018-01-03
2163,21893129,Adorable midtown studio,120762452,Stanley,Manhattan,Murray Hill,40.75033,-73.97546,Entire home/apt,150,30,2,2018-09-30,0.12,50,365,2018-04-28
2164,21908184,Furnished spacious  NYC studio,120762452,Stanley,Manhattan,Murray Hill,40.75006,-73.97694,Entire home/apt,195,30,1,2018-08-05,0.07,50,365,2018-08-05
2165,21934873,Cute studio in Midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.75008,-73.97752,Entire home/apt,150,30,2,2019-05-08,0.22,50,353,2018-12-19
2166,21936073,"Charming 1BR - King Bed, Full Kitchen, Laundry",6041929,Degelis,Manhattan,West Village,40.73253,-74.00859,Entire home/apt,220,4,12,2019-07-22,0.63,1,255,2018-02-18
2167,21939486,West Village spacious studio with fire place,160127344,Lily,Manhattan,Greenwich Village,40.727059999999994,-73.99955,Entire home/apt,180,1,75,2019-08-16,3.48,1,187,2017-12-06
2168,21947011,Brand New 2 Bedroom 2 Bath Downtown Gem,35743804,Brad,Manhattan,Financial District,40.70758,-74.00409,Entire home/apt,700,2,18,2019-09-02,0.84,1,180,2017-12-10
2169,21963418,Big Studio at Grand Central Station area.,3368678,Oswaldo,Manhattan,Midtown,40.752320000000005,-73.9689,Entire home/apt,210,3,22,2019-08-14,1.04,1,143,2017-12-17
2170,21969058,East Harlem Pied A Terre,16864813,Kim,Manhattan,East Harlem,40.80255,-73.94349,Entire home/apt,300,3,43,2019-08-22,2.4,1,294,2018-03-25
2171,21980723,Loft-style Manhattan Townhouse 3000 sqft (278 m2),6675176,David,Manhattan,Harlem,40.82277,-73.9555,Entire home/apt,675,5,28,2019-08-27,1.45,1,291,2018-02-13
2172,21983547,"Spacious, Bright 1 BR in Prime Midtown West",12128527,Andy,Manhattan,Chelsea,40.75172,-73.99784,Entire home/apt,225,2,41,2019-08-29,1.93,2,297,2017-12-17
2173,21984189,Bryant Park,160520133,Jay,Manhattan,Midtown,40.75288,-73.98526,Entire home/apt,250,7,14,2019-08-24,0.66,1,292,2017-12-17
2174,21994672,Upper East Side  ONLY 1 Person,105341430,Kseniya,Manhattan,Upper East Side,40.78176,-73.95085,Entire home/apt,135,1,10,2019-09-02,0.53,1,119,2018-03-01
2175,22005115,Two floor apartment near Central Park,82746113,Cecilia,Manhattan,Upper West Side,40.78761,-73.96862,Entire home/apt,135,3,1,2019-06-30,0.39,1,136,2019-06-30
2176,22013837,Fidi Artisan Home,160749008,Matthew,Manhattan,Financial District,40.70397,-74.00998,Entire home/apt,240,2,69,2019-08-18,3.32,1,103,2017-12-29
2177,22020038,"Captivating sunny studio, close to everything",47414802,Jason,Manhattan,Harlem,40.80427,-73.9506,Entire home/apt,131,20,4,2018-09-30,0.19,2,273,2017-12-17
2178,22032243,Historical Midtown East Retreat - Steps to the U.N,160892059,Cooper,Manhattan,Midtown,40.75292,-73.96386,Entire home/apt,195,5,16,2019-06-14,0.75,1,135,2017-12-16
2179,22064262,Spacious beautiful studio in Midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74873,-73.97664,Entire home/apt,150,30,5,2019-04-06,0.34,50,348,2018-07-01
2180,22079387,Boutique Luxury in the Heart of Chelsea,148107543,Mario,Manhattan,Chelsea,40.74494,-73.99762,Entire home/apt,299,2,31,2019-07-12,1.45,1,335,2017-12-11
2181,22082903,Studio Sanctuary in Landmark Brownstone,156047478,Doron,Manhattan,Harlem,40.8048,-73.94951,Entire home/apt,91,30,10,2019-09-04,0.52,2,182,2018-02-11
2182,22100970,Luxurious 1 Bedroom Fully Renovated,61391963,Corporate Housing,Manhattan,Kips Bay,40.74241,-73.97954,Entire home/apt,142,30,8,2019-04-01,0.38,93,348,2017-12-17
2183,22102108,Great apartment in the heart of Manhattan!,20905481,Jamie And John,Manhattan,Hell's Kitchen,40.76028,-73.99014,Entire home/apt,179,1,139,2019-09-07,6.49,1,168,2017-12-10
2184,22122354,3 Minutes to Central Park ❤︎ of NYC!,161616186,Santiago,Manhattan,Upper West Side,40.78233,-73.98415,Entire home/apt,150,30,27,2019-08-23,1.31,1,224,2018-01-02
2185,22122470,New Luxury Harlem Condo 2 bedrooms with Garden,161592215,Mukaram,Manhattan,East Harlem,40.80209,-73.93584,Entire home/apt,210,6,37,2019-08-16,1.79,2,288,2018-01-02
2186,22122614,Spacious Family Space - 2 Bedrooms,161617875,Tyge,Manhattan,Washington Heights,40.85244,-73.9405,Entire home/apt,150,2,37,2019-08-23,1.78,2,129,2017-12-28
2187,22142636,Sunny Modern newly renovated 1BR apartment,40875021,Scott,Manhattan,East Harlem,40.79315,-73.93385,Entire home/apt,150,1,19,2019-09-02,0.92,3,324,2018-01-01
2188,22147426,Prime Harlem Condo -Bright!- with Outdoor Space,161742462,Rashida,Manhattan,Harlem,40.80814,-73.94238,Entire home/apt,280,6,47,2019-08-18,2.44,1,311,2018-02-14
2189,22156875,Manhattan Studio in Prewar Building,161814450,Michael,Manhattan,Upper West Side,40.778059999999996,-73.98225,Entire home/apt,195,3,27,2019-09-09,1.51,1,217,2018-03-25
2190,22160989,Harlem Luxury Condo !New! 2 Full Bedrooms Balcony,161592215,Mukaram,Manhattan,East Harlem,40.8025,-73.93775,Entire home/apt,200,6,35,2019-08-27,1.69,2,260,2018-01-01
2191,22162572,1BED 1 BATH /UPPER WEST SIDE /Lincoln Center,131647128,Emily,Manhattan,Upper West Side,40.77605,-73.98833,Entire home/apt,190,30,4,2019-04-11,0.47,30,284,2019-01-02
2192,22162915,2 Beds 1 Bath UPPER WEST SIDE/ LINCOLN CENTER,131647128,Emily,Manhattan,Upper West Side,40.77483,-73.98973000000001,Entire home/apt,200,30,1,2018-10-12,0.09,30,302,2018-10-12
